Estimates Geography File: Vintage 2016,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,
Internet Release Date: May 2017,,,,,,
,,,,,,
Summary Level,State Code (FIPS),County Code (FIPS),County Subdivision Code (FIPS),Place Code (FIPS),Consolidtated City Code (FIPS),Area Name (including legal/statistical area description)
040,53,000,00000,00000,00000,Washington
050,53,001,00000,00000,00000,Adams County
050,53,003,00000,00000,00000,Asotin County
050,53,005,00000,00000,00000,Benton County
050,53,007,00000,00000,00000,Chelan County
050,53,009,00000,00000,00000,Clallam County
050,53,011,00000,00000,00000,Clark County
050,53,013,00000,00000,00000,Columbia County
050,53,015,00000,00000,00000,Cowlitz County
050,53,017,00000,00000,00000,Douglas County
050,53,019,00000,00000,00000,Ferry County
050,53,021,00000,00000,00000,Franklin County
050,53,023,00000,00000,00000,Garfield County
050,53,025,00000,00000,00000,Grant County
050,53,027,00000,00000,00000,Grays Harbor County
050,53,029,00000,00000,00000,Island County
050,53,031,00000,00000,00000,Jefferson County
050,53,033,00000,00000,00000,King County
050,53,035,00000,00000,00000,Kitsap County
050,53,037,00000,00000,00000,Kittitas County
050,53,039,00000,00000,00000,Klickitat County
050,53,041,00000,00000,00000,Lewis County
050,53,043,00000,00000,00000,Lincoln County
050,53,045,00000,00000,00000,Mason County
050,53,047,00000,00000,00000,Okanogan County
050,53,049,00000,00000,00000,Pacific County
050,53,051,00000,00000,00000,Pend Oreille County
050,53,053,00000,00000,00000,Pierce County
050,53,055,00000,00000,00000,San Juan County
050,53,057,00000,00000,00000,Skagit County
050,53,059,00000,00000,00000,Skamania County
050,53,061,00000,00000,00000,Snohomish County
050,53,063,00000,00000,00000,Spokane County
050,53,065,00000,00000,00000,Stevens County
050,53,067,00000,00000,00000,Thurston County
050,53,069,00000,00000,00000,Wahkiakum County
050,53,071,00000,00000,00000,Walla Walla County
050,53,073,00000,00000,00000,Whatcom County
050,53,075,00000,00000,00000,Whitman County
050,53,077,00000,00000,00000,Yakima County
162,53,000,00000,00100,00000,Aberdeen city
162,53,000,00000,00905,00000,Airway Heights city
162,53,000,00000,01010,00000,Albion town
162,53,000,00000,01290,00000,Algona city
162,53,000,00000,01500,00000,Almira town
162,53,000,00000,01990,00000,Anacortes city
162,53,000,00000,02585,00000,Arlington city
162,53,000,00000,03075,00000,Asotin city
162,53,000,00000,03180,00000,Auburn city
162,53,000,00000,03736,00000,Bainbridge Island city
162,53,000,00000,04475,00000,Battle Ground city
162,53,000,00000,04895,00000,Beaux Arts Village town
162,53,000,00000,05210,00000,Bellevue city
162,53,000,00000,05280,00000,Bellingham city
162,53,000,00000,05560,00000,Benton City city
162,53,000,00000,06085,00000,Bingen city
162,53,000,00000,06330,00000,Black Diamond city
162,53,000,00000,06505,00000,Blaine city
162,53,000,00000,07170,00000,Bonney Lake city
162,53,000,00000,07380,00000,Bothell city
162,53,000,00000,07695,00000,Bremerton city
162,53,000,00000,07835,00000,Brewster city
162,53,000,00000,07870,00000,Bridgeport city
162,53,000,00000,07940,00000,Brier city
162,53,000,00000,08570,00000,Buckley city
162,53,000,00000,08605,00000,Bucoda town
162,53,000,00000,08850,00000,Burien city
162,53,000,00000,08920,00000,Burlington city
162,53,000,00000,09480,00000,Camas city
162,53,000,00000,09970,00000,Carbonado town
162,53,000,00000,10215,00000,Carnation city
162,53,000,00000,10495,00000,Cashmere city
162,53,000,00000,10565,00000,Castle Rock city
162,53,000,00000,10635,00000,Cathlamet town
162,53,000,00000,11160,00000,Centralia city
162,53,000,00000,11475,00000,Chehalis city
162,53,000,00000,11615,00000,Chelan city
162,53,000,00000,11825,00000,Cheney city
162,53,000,00000,12140,00000,Chewelah city
162,53,000,00000,12630,00000,Clarkston city
162,53,000,00000,12945,00000,Cle Elum city
162,53,000,00000,13365,00000,Clyde Hill city
162,53,000,00000,13785,00000,Colfax city
162,53,000,00000,13855,00000,College Place city
162,53,000,00000,13890,00000,Colton town
162,53,000,00000,14170,00000,Colville city
162,53,000,00000,14310,00000,Conconully town
162,53,000,00000,14380,00000,Concrete town
162,53,000,00000,14485,00000,Connell city
162,53,000,00000,14870,00000,Cosmopolis city
162,53,000,00000,15080,00000,Coulee City town
162,53,000,00000,15115,00000,Coulee Dam town
162,53,000,00000,15185,00000,Coupeville town
162,53,000,00000,15290,00000,Covington city
162,53,000,00000,15710,00000,Creston town
162,53,000,00000,16340,00000,Cusick town
162,53,000,00000,16690,00000,Darrington town
162,53,000,00000,16795,00000,Davenport city
162,53,000,00000,16970,00000,Dayton city
162,53,000,00000,17320,00000,Deer Park city
162,53,000,00000,17635,00000,Des Moines city
162,53,000,00000,18965,00000,DuPont city
162,53,000,00000,19035,00000,Duvall city
162,53,000,00000,20155,00000,East Wenatchee city
162,53,000,00000,20260,00000,Eatonville town
162,53,000,00000,20645,00000,Edgewood city
162,53,000,00000,20750,00000,Edmonds city
162,53,000,00000,21030,00000,Electric City city
162,53,000,00000,21240,00000,Ellensburg city
162,53,000,00000,21450,00000,Elma city
162,53,000,00000,21485,00000,Elmer City town
162,53,000,00000,21730,00000,Endicott town
162,53,000,00000,22010,00000,Entiat city
162,53,000,00000,22045,00000,Enumclaw city
162,53,000,00000,22080,00000,Ephrata city
162,53,000,00000,22640,00000,Everett city
162,53,000,00000,22745,00000,Everson city
162,53,000,00000,22990,00000,Fairfield town
162,53,000,00000,23340,00000,Farmington town
162,53,000,00000,23515,00000,Federal Way city
162,53,000,00000,23620,00000,Ferndale city
162,53,000,00000,23795,00000,Fife city
162,53,000,00000,23970,00000,Fircrest city
162,53,000,00000,24810,00000,Forks city
162,53,000,00000,25615,00000,Friday Harbor town
162,53,000,00000,26140,00000,Garfield town
162,53,000,00000,26455,00000,George city
162,53,000,00000,26735,00000,Gig Harbor city
162,53,000,00000,27365,00000,Gold Bar city
162,53,000,00000,27435,00000,Goldendale city
162,53,000,00000,27855,00000,Grand Coulee city
162,53,000,00000,27925,00000,Grandview city
162,53,000,00000,27960,00000,Granger city
162,53,000,00000,27995,00000,Granite Falls city
162,53,000,00000,29255,00000,Hamilton town
162,53,000,00000,29710,00000,Harrah town
162,53,000,00000,29745,00000,Harrington city
162,53,000,00000,29920,00000,Hartline town
162,53,000,00000,30060,00000,Hatton town
162,53,000,00000,32300,00000,Hoquiam city
162,53,000,00000,32755,00000,Hunts Point town
162,53,000,00000,33000,00000,Ilwaco city
162,53,000,00000,33175,00000,Index town
162,53,000,00000,33560,00000,Ione town
162,53,000,00000,33805,00000,Issaquah city
162,53,000,00000,34575,00000,Kahlotus city
162,53,000,00000,34645,00000,Kalama city
162,53,000,00000,35065,00000,Kelso city
162,53,000,00000,35170,00000,Kenmore city
162,53,000,00000,35275,00000,Kennewick city
162,53,000,00000,35415,00000,Kent city
162,53,000,00000,35485,00000,Kettle Falls city
162,53,000,00000,35940,00000,Kirkland city
162,53,000,00000,36045,00000,Kittitas city
162,53,000,00000,36395,00000,Krupp town
162,53,000,00000,36710,00000,La Center city
162,53,000,00000,36745,00000,Lacey city
162,53,000,00000,36780,00000,La Conner town
162,53,000,00000,36850,00000,LaCrosse town
162,53,000,00000,37270,00000,Lake Forest Park city
162,53,000,00000,37900,00000,Lake Stevens city
162,53,000,00000,38038,00000,Lakewood city
162,53,000,00000,38215,00000,Lamont town
162,53,000,00000,38355,00000,Langley city
162,53,000,00000,38495,00000,Latah town
162,53,000,00000,38845,00000,Leavenworth city
162,53,000,00000,39335,00000,Liberty Lake city
162,53,000,00000,39510,00000,Lind town
162,53,000,00000,40070,00000,Long Beach city
162,53,000,00000,40245,00000,Longview city
162,53,000,00000,40770,00000,Lyman town
162,53,000,00000,40805,00000,Lynden city
162,53,000,00000,40840,00000,Lynnwood city
162,53,000,00000,40980,00000,Mabton city
162,53,000,00000,41225,00000,McCleary city
162,53,000,00000,42275,00000,Malden town
162,53,000,00000,42800,00000,Mansfield town
162,53,000,00000,43150,00000,Maple Valley city
162,53,000,00000,43395,00000,Marcus town
162,53,000,00000,43955,00000,Marysville city
162,53,000,00000,44165,00000,Mattawa city
162,53,000,00000,44690,00000,Medical Lake city
162,53,000,00000,44725,00000,Medina city
162,53,000,00000,45005,00000,Mercer Island city
162,53,000,00000,45180,00000,Mesa city
162,53,000,00000,45285,00000,Metaline town
162,53,000,00000,45320,00000,Metaline Falls town
162,53,000,00000,45865,00000,Mill Creek city
162,53,000,00000,45985,00000,Millwood city
162,53,000,00000,46020,00000,Milton city
162,53,000,00000,46685,00000,Monroe city
162,53,000,00000,46895,00000,Montesano city
162,53,000,00000,47175,00000,Morton city
162,53,000,00000,47245,00000,Moses Lake city
162,53,000,00000,47315,00000,Mossyrock city
162,53,000,00000,47490,00000,Mountlake Terrace city
162,53,000,00000,47560,00000,Mount Vernon city
162,53,000,00000,47665,00000,Moxee city
162,53,000,00000,47735,00000,Mukilteo city
162,53,000,00000,47805,00000,Naches town
162,53,000,00000,47980,00000,Napavine city
162,53,000,00000,48540,00000,Nespelem town
162,53,000,00000,48645,00000,Newcastle city
162,53,000,00000,48820,00000,Newport city
162,53,000,00000,49275,00000,Nooksack city
162,53,000,00000,49415,00000,Normandy Park city
162,53,000,00000,49485,00000,North Bend city
162,53,000,00000,49555,00000,North Bonneville city
162,53,000,00000,50045,00000,Northport town
162,53,000,00000,50325,00000,Oakesdale town
162,53,000,00000,50360,00000,Oak Harbor city
162,53,000,00000,50430,00000,Oakville city
162,53,000,00000,50570,00000,Ocean Shores city
162,53,000,00000,50745,00000,Odessa town
162,53,000,00000,50920,00000,Okanogan city
162,53,000,00000,51300,00000,Olympia city
162,53,000,00000,51340,00000,Omak city
162,53,000,00000,51970,00000,Oroville city
162,53,000,00000,52005,00000,Orting city
162,53,000,00000,52215,00000,Othello city
162,53,000,00000,52495,00000,Pacific city
162,53,000,00000,52950,00000,Palouse city
162,53,000,00000,53545,00000,Pasco city
162,53,000,00000,53720,00000,Pateros city
162,53,000,00000,53930,00000,Pe Ell town
162,53,000,00000,55120,00000,Pomeroy city
162,53,000,00000,55365,00000,Port Angeles city
162,53,000,00000,55785,00000,Port Orchard city
162,53,000,00000,55855,00000,Port Townsend city
162,53,000,00000,55995,00000,Poulsbo city
162,53,000,00000,56240,00000,Prescott city
162,53,000,00000,56450,00000,Prosser city
162,53,000,00000,56625,00000,Pullman city
162,53,000,00000,56695,00000,Puyallup city
162,53,000,00000,57115,00000,Quincy city
162,53,000,00000,57220,00000,Rainier city
162,53,000,00000,57430,00000,Raymond city
162,53,000,00000,57465,00000,Reardan town
162,53,000,00000,57535,00000,Redmond city
162,53,000,00000,57745,00000,Renton city
162,53,000,00000,57850,00000,Republic city
162,53,000,00000,58235,00000,Richland city
162,53,000,00000,58410,00000,Ridgefield city
162,53,000,00000,58725,00000,Ritzville city
162,53,000,00000,58795,00000,Riverside town
162,53,000,00000,59145,00000,Rockford town
162,53,000,00000,59180,00000,Rock Island city
162,53,000,00000,59775,00000,Rosalia town
162,53,000,00000,60055,00000,Roslyn city
162,53,000,00000,60160,00000,Roy city
162,53,000,00000,60230,00000,Royal City city
162,53,000,00000,60510,00000,Ruston town
162,53,000,00000,60860,00000,St. John town
162,53,000,00000,61115,00000,Sammamish city
162,53,000,00000,62288,00000,SeaTac city
162,53,000,00000,63000,00000,Seattle city
162,53,000,00000,63210,00000,Sedro-Woolley city
162,53,000,00000,63280,00000,Selah city
162,53,000,00000,63385,00000,Sequim city
162,53,000,00000,63735,00000,Shelton city
162,53,000,00000,63960,00000,Shoreline city
162,53,000,00000,64855,00000,Skykomish town
162,53,000,00000,65170,00000,Snohomish city
162,53,000,00000,65205,00000,Snoqualmie city
162,53,000,00000,65345,00000,Soap Lake city
162,53,000,00000,65625,00000,South Bend city
162,53,000,00000,65765,00000,South Cle Elum town
162,53,000,00000,66045,00000,South Prairie town
162,53,000,00000,66290,00000,Spangle city
162,53,000,00000,67000,00000,Spokane city
162,53,000,00000,67167,00000,Spokane Valley city
162,53,000,00000,67175,00000,Sprague city
162,53,000,00000,67210,00000,Springdale town
162,53,000,00000,67455,00000,Stanwood city
162,53,000,00000,67490,00000,Starbuck town
162,53,000,00000,67770,00000,Steilacoom town
162,53,000,00000,67875,00000,Stevenson city
162,53,000,00000,68260,00000,Sultan city
162,53,000,00000,68330,00000,Sumas city
162,53,000,00000,68435,00000,Sumner city
162,53,000,00000,68750,00000,Sunnyside city
162,53,000,00000,70000,00000,Tacoma city
162,53,000,00000,70560,00000,Tekoa city
162,53,000,00000,70630,00000,Tenino city
162,53,000,00000,71400,00000,Tieton city
162,53,000,00000,71785,00000,Toledo city
162,53,000,00000,71890,00000,Tonasket city
162,53,000,00000,71960,00000,Toppenish city
162,53,000,00000,72625,00000,Tukwila city
162,53,000,00000,72905,00000,Tumwater city
162,53,000,00000,73080,00000,Twisp town
162,53,000,00000,73290,00000,Union Gap city
162,53,000,00000,73360,00000,Uniontown town
162,53,000,00000,73465,00000,University Place city
162,53,000,00000,73780,00000,Vader city
162,53,000,00000,74060,00000,Vancouver city
162,53,000,00000,75565,00000,Waitsburg city
162,53,000,00000,75775,00000,Walla Walla city
162,53,000,00000,76125,00000,Wapato city
162,53,000,00000,76160,00000,Warden city
162,53,000,00000,76405,00000,Washougal city
162,53,000,00000,76440,00000,Washtucna town
162,53,000,00000,76510,00000,Waterville town
162,53,000,00000,76720,00000,Waverly town
162,53,000,00000,77105,00000,Wenatchee city
162,53,000,00000,77630,00000,Westport city
162,53,000,00000,77665,00000,West Richland city
162,53,000,00000,78330,00000,White Salmon city
162,53,000,00000,78680,00000,Wilbur town
162,53,000,00000,78925,00000,Wilkeson town
162,53,000,00000,79135,00000,Wilson Creek town
162,53,000,00000,79275,00000,Winlock city
162,53,000,00000,79380,00000,Winthrop town
162,53,000,00000,79590,00000,Woodinville city
162,53,000,00000,79625,00000,Woodland city
162,53,000,00000,79835,00000,Woodway city
162,53,000,00000,79975,00000,Yacolt town
162,53,000,00000,80010,00000,Yakima city
162,53,000,00000,80150,00000,Yarrow Point town
162,53,000,00000,80220,00000,Yelm city
162,53,000,00000,80500,00000,Zillah city
